time,jogos_como_home,acuracia_home,jogos_como_visitor,acuracia_visitor,total_jogos,total_acertos,acuracia_geral_time
OKC,29,0.8620689655172413,26,0.7307692307692307,55,44,0.8
WAS,27,0.8148148148148148,29,0.6896551724137931,56,42,0.75
UTA,27,0.7407407407407407,27,0.7407407407407407,54,40,0.7407407407407407
CHA,24,0.6666666666666666,25,0.8,49,36,0.7346938775510204
CLE,25,0.68,29,0.7586206896551724,54,39,0.7222222222222222
PHX,26,0.7692307692307693,28,0.6428571428571429,54,38,0.7037037037037037
PHI,28,0.6785714285714286,29,0.7241379310344828,57,40,0.7017543859649122
NOP,27,0.6666666666666666,23,0.7391304347826086,50,35,0.7
MEM,23,0.6956521739130435,26,0.6923076923076923,49,34,0.6938775510204082
LAC,20,0.7,28,0.6785714285714286,48,33,0.6875
NYK,28,0.6785714285714286,26,0.6923076923076923,54,37,0.6851851851851852
GSW,29,0.7241379310344828,27,0.6296296296296297,56,38,0.6785714285714286
BOS,25,0.64,27,0.7037037037037037,52,35,0.6730769230769231
HOU,25,0.6,26,0.7307692307692307,51,34,0.6666666666666666
DEN,29,0.6896551724137931,27,0.6296296296296297,56,37,0.6607142857142857
SAC,24,0.625,28,0.6785714285714286,52,34,0.6538461538461539
LAL,25,0.8,24,0.5,49,32,0.6530612244897959
SAS,21,0.6190476190476191,28,0.6785714285714286,49,32,0.6530612244897959
DAL,28,0.7142857142857143,25,0.56,53,34,0.6415094339622641
IND,28,0.7142857142857143,25,0.56,53,34,0.6415094339622641
TOR,25,0.56,27,0.7037037037037037,52,33,0.6346153846153846
CHI,26,0.6538461538461539,25,0.6,51,32,0.6274509803921569
DET,28,0.5714285714285714,24,0.6666666666666666,52,32,0.6153846153846154
POR,25,0.56,27,0.6666666666666666,52,32,0.6153846153846154
BKN,29,0.6206896551724138,24,0.5833333333333334,53,32,0.6037735849056604
MIL,27,0.5555555555555556,25,0.64,52,31,0.5961538461538461
ATL,25,0.56,24,0.625,49,29,0.5918367346938775
MIA,27,0.5185185185185185,26,0.6538461538461539,53,31,0.5849056603773585
MIN,28,0.6071428571428571,28,0.5357142857142857,56,32,0.5714285714285714
ORL,29,0.5517241379310345,24,0.5833333333333334,53,30,0.5660377358490566
